imdb_id,name,revenue_opening,imdb_trailer,youtube_trailer
tt0435761,Toy Story 3,110307189,https://www.imdb.com/video/imdb/vi3676898329,https://www.youtube.com/watch?v=DFTIL0ciHik
tt0451279,Wonder Woman,103251471,https://www.imdb.com/video/imdb/vi1553381657,https://www.youtube.com/watch?v=qeZ8X5FKl78
tt1300854,Iron Man Three,174144585,https://www.imdb.com/video/imdb/vi2830738969,https://www.youtube.com/watch?v=aV8H7kszXqo
tt3498820,Captain America: Civil War,179139142,https://www.imdb.com/video/imdb/vi174044441,https://www.youtube.com/watch?v=FkTybqcX-Yo
tt1392170,The Hunger Games,152535747,https://www.imdb.com/video/imdb/vi3358368281,https://www.youtube.com/watch?v=SMGRhAEn6K0
tt2283362,Jumanji: Welcome to the Jungle,36169328,https://www.imdb.com/video/imdb/vi3413817625,https://www.youtube.com/watch?v=leE10vdvkho
tt0145487,Spider-Man,114844116,https://www.imdb.com/video/imdb/vi422553113,https://www.youtube.com/watch?v=0KW8stZ2jSQ
tt1055369,Transformers: Revenge of the Fallen,108966307,https://www.imdb.com/video/imdb/vi2982019609,https://www.youtube.com/watch?v=uH3STHC63hU
tt2294629,Frozen,243390,https://www.imdb.com/video/imdb/vi2482677785,https://www.youtube.com/watch?v=FLzfXQSPBOg
tt0107290,Jurassic Park,50159460,https://www.imdb.com/video/imdb/vi177055257,https://www.youtube.com/watch?v=p1FevaLUbTg
tt3896198,Guardians of the Galaxy Vol. 2,146510104,https://www.imdb.com/video/imdb/vi3076896281,https://www.youtube.com/watch?v=rEpsPXUt4R0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,169189427,https://www.imdb.com/video/imdb/vi128621593,https://www.youtube.com/watch?v=I_kDb-pRCds
tt0266543,Finding Nemo,70251710,https://www.imdb.com/video/imdb/vi3857627673,https://www.youtube.com/watch?v=9oQ628Seb9w
tt0121766,Star Wars: Episode III - Revenge of the Sith,108435841,https://www.imdb.com/video/imdb/vi3740316185,https://www.youtube.com/watch?v=5UnjrG_N8hU
tt0167260,The Lord of the Rings: The Return of the King,72629713,https://www.imdb.com/video/imdb/vi2073101337,https://www.youtube.com/watch?v=r5X-hFf6Bwo
tt0101414,Beauty and the Beast,162146,https://www.imdb.com/video/imdb/vi1040490009,https://www.youtube.com/watch?v=tRlzmyveDHE
tt0316654,Spider-Man 2,88156227,https://www.imdb.com/video/imdb/vi2950562585,https://www.youtube.com/watch?v=BWsLc3j1AWg
tt0335345,The Passion of the Christ,83848082,https://www.imdb.com/video/imdb/vi49807641,https://www.youtube.com/watch?v=oSMA5UU8eI4
tt2709768,The Secret Life of Pets,104352905,https://www.imdb.com/video/imdb/vi1430175001,https://www.youtube.com/watch?v=i-80SGWfEjM
tt1690953,Despicable Me 2,84227980,https://www.imdb.com/video/imdb/vi245343769,https://www.youtube.com/watch?v=Wesw7vTC1Co
